"%1 for ""%2"".","%1 pour ""%2""."
"%1 has been added to your wishlist. Click <a href=""%2"">here</a> to continue shopping.","%1 a été ajouté à votre liste d'envies. Cliquez <a href=""%2"">ici</a> pour continuer vos achats."
"%1 has been moved to your wish list.","%1 a été déplacé dans votre liste d'envies."
"%1 has been updated in your wish list.","%1 a bien été mis à jour dans votre liste d'envies."
"%1 has been updated in your Wish List.","%1 a bien été mis à jour dans votre liste d'envies."
"1 item","1 article"
"%1 items","%1 articles"
"%1 product(s) have been added to shopping cart: %2.","%1 produits ont été ajoutés à votre panier: %2."
"%1's Wish List","Liste d'envies de %1"
"%1's Wishlist","Liste d'envies de %1"
"%1's Wish List","Liste d'envies de %1"
"10 by default. Max - 10000","10 par défaut. Maximum - 10000"
"255 by default","255 par défaut"
"Action","Action"
"Add All to Cart","Tout ajouter au panier"
"Add Date","Ajouter une Date"
"Add Locale","Ajouter des paramètres régionaux"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à ma liste d'envie"
"Add to Wish List","Ajouter à ma liste d'envie"
"An item option with code %1 already exists.","Une option article avec le code %1 existe déjà."
"Are you sure that you want to remove this item?","Êtes-vous sûr(e) de vouloir retirer cet article?"
"Are you sure you want to remove this item?","Êtes-vous sûr de vouloir supprimer cet article ?"
"Are you sure you want to remove this product from your wishlist?","Êtes-vous sûr de vouloir supprimer cet article de votre liste d'envies ?"
"Are you sure you want to remove this product from your Wish List?","Êtes-vous sûr de vouloir supprimer cet article de votre liste d'envies ?"
"Availability","Disponibilité"
"Back","Retour"
"Cannot add item to shopping cart","Impossible d'ajouter l'article au panier"
"Cannot specify product.","Impossible de spécifier le produit."
"Can't delete item from wishlist","Impossible d'enlever l'article de la liste d'envies"
"Can't save description %1","Impossible de sauvegarder la description %1"
"Can't update wish list","Impossible de mettre à jour la liste d'envies"
"Check here to link an RSS feed to your Wish List.","Cocher cette case pour activer le flux RSS de votre liste d'enVies."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Cochez cette case si vous souhaitez ajouter un lien vers un flux RSS vers votre liste d'envies."
"Click for price","Cliquez pour afficher le prix"
"Comment","Commentaire"
"Comment:","Commentaire:"
"Configure","Configurer"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name désire partager cette liste d'envies de %store_name avec vous:"
"Days in Wish List","Nombre de jour dans la liste d'envies"
"Delete","Supprimer"
"Display item quantities","Afficher la quantité article"
"Display number of items in wish list","Afficher le nombre d'articles de la liste d'envies"
"Display Wish List Summary","Afficher le résumé de la liste d'envies"
"Edit","Éditer"
"Email address can't be empty.","L'adresse email ne peut pas être vide."
"Email addresses, separated by commas","Adresses email, séparées par des virgules"
"Email Sender","Expéditeur du mail"
"Email Template","Gabarit du mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le template d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
"Email Text Length Limit","Longueur maximal du texte du message"
"Enabled","Activé"
"Enable RSS","Activer le flux RSS"
"error-message","error-message"
"General Options","Options générales"
"Go to Wish List","Allez à la liste d'envies"
"In stock","En Stock"
"Invalid item option format.","Format d'option d'élément invalide."
"Last Added Items","Derniers articles ajoutés"
"LocalizedException","LocalizedException"
